,tenure,MonthlyCharges,TotalCharges
tenure,1.0,0.24686176664089363,0.8258804609332019
MonthlyCharges,0.24686176664089363,1.0,0.6510648032262017
TotalCharges,0.8258804609332019,0.6510648032262017,1.0
